,날짜,신문사,제목,분야
197,2024.04.02. 오후 6:10,중앙일보,"대표들은 구속·퇴사에, 허영인 회장도 체포…수장 없는 SPC",경제
198,2024.04.02. 오후 6:10,한국경제,컬리와 접점 늘리는 CU…주류 픽업 서비스 선보여,경제
199,2024.04.02. 오후 6:07,중앙일보,"'특수선' 넓히는 한화오션 ""호주 조선사 오스탈 인수 추진""",경제
200,2024.04.02. 오후 6:07,한국경제TV,"롯데GRS, 송파구 삼전동에 신사옥 개소...올해 매출 1조 도전",경제
201,2024.04.02. 오후 6:07,조선비즈,최상목 만난 암참 회장 “韓 비즈니스 거점 되려면 규제 개혁 속도”,경제
202,2024.04.02. 오후 6:07,한국경제,"배형근 현대차증권 사장, 주식 1억원어치 매입…책임 경영 내비쳐",경제
203,2024.04.02. 오후 6:05,중앙일보,"부산항 개항 이래 최초, 크루즈선 4척 동시 기항",경제
204,2024.04.02. 오후 6:03,이데일리,돌아온 3高…‘고금리·고유가·강달러’에 증시랠리 부담없나,경제
205,2024.04.02. 오후 5:59,매일경제,[단독] 기술개발 지원금 환수 줄여 R&D;투자 촉진,경제
206,2024.04.02. 오후 5:59,매일경제,"""노동·세금·디지털 규제 풀어 글로벌 기업 아·태본부 유치""",경제
207,2024.04.02. 오후 5:59,매일경제,외국인'건보 먹튀'차단…피부양자 자격 강화,경제
208,2024.04.02. 오후 5:59,매일경제,"사과·배값 88% 뛰었지만 … 정부 ""이달부터 물가안정""",경제
209,2024.04.02. 오후 5:59,매일경제,1분기 외국인 직접투자 70억5천만弗 역대 최대,경제
210,2024.04.02. 오후 5:59,한국경제,"의사 가운 벗고 창업…""비대면 진료 대중화 확신""",경제
211,2024.04.02. 오후 5:58,매일경제,"또 초박빙 원주 … 與도 野도 ""이번엔 우리가 싹쓸이""",사회
212,2024.04.02. 오후 5:58,매일경제,매경 금융상품대상 하나 트래블로그,경제
213,2024.04.02. 오후 5:58,매일경제,[포토] 반도체 붐 올라탔다…삼성전자 시총 500조 탈환,경제
214,2024.04.02. 오후 5:58,매일경제,동네병원이 실손 블랙홀…5년새 지급액 3배,경제
215,2024.04.02. 오후 5:58,매일경제,"尹 ""물가 안정자금 무한투입""",경제
216,2024.04.02. 오후 5:58,매일경제,지분장악 나선 '한미 형제' 사모펀드 KKR 손잡는다,경제
217,2024.04.02. 오후 5:58,매일경제,포스코 장인화 회장 취임후 첫 조직개편,경제
218,2024.04.02. 오후 5:58,매일경제,코성형이 도수치료 둔갑 …'진단서 위조' 보험사기만 한해 2천억,경제
219,2024.04.02. 오후 5:58,매일경제,"보험사기 예방, 법으론 역부족 … 보험사 AI 탐지 동원 '각자도생'",경제
220,2024.04.02. 오후 5:58,매일경제,삼성·LG '세컨드 스크린' 혈투 … 대항마 투입,경제
221,2024.04.02. 오후 5:58,매일경제,LG엔솔·GM합작사 제2공장 본격 가동,경제
222,2024.04.02. 오후 5:58,매일경제,카타르 LNG운반선 4척 한화오션 1조2400억 수주,경제
223,2024.04.02. 오후 5:58,매일경제,"이훈기 롯데케미칼 사장 현장서 ""수익성·안전 강화""",경제
224,2024.04.02. 오후 5:58,파이낸셜뉴스,"우리금융캐피탈, 감사에 안효열 전 신한은행 부행장 선임",경제
225,2024.04.02. 오후 5:58,매일경제,한화에어로 인적분할 추진 … 방산 경쟁력 확 키운다,경제
226,2024.04.02. 오후 5:58,한국경제,역마진도 감내…은행 격전지 된 '기업 금융',경제
227,2024.04.02. 오후 5:57,한국경제,"""강원랜드 2.5조 투자, K복합리조트로 육성""",경제
228,2024.04.02. 오후 5:57,이데일리,"KB증권, 올 1분기 리테일채권 판매액 4.3조원 돌파",경제
229,2024.04.02. 오후 5:57,한국경제,"""선물 꾸러미 받은 어린이 웃는 모습 기대돼요""",경제
230,2024.04.02. 오후 5:56,매일경제,[표] 외국환율고시표,경제
231,2024.04.02. 오후 5:56,한국경제,"이훈기 롯데케미칼 대표 ""체질 개선이 중요한 시점""",경제
